"Folder","FileCount","TotalSizeMB"
"00 Good","104","32516,79"
"01 Bad","245","43813,63"
"02 maybe","42","12141,36"
"03 Useless","141","7748,74"
"2024-12-17 10-00-00 (1)","6","1281,23"
"2024-12-18 02-00-00 (1)","6","1282,25"
"2024-12-18 06-00-00 (1)","6","1279,01"
"2024-12-18 08-00-00 (1)","6","1285,39"
"2024-12-19 04-02-35 (1)","6","1258,09"
"2024-12-19 06-00-00 (1)","6","1278,65"
"2024-12-19 08-00-00 (1)","6","1281,11"
"2024-12-19 10-00-00 (1)","6","1281,73"
"2024-12-19 12-00-00 (1)","6","1278,17"
"2024-12-19 14-00-00 (1)","6","1284,35"
"2024-12-22 05-47-18 (1)","6","136,42"
"2024-12-22 07-27-58 (1)","6","344,12"
"2024-12-22 19-03-25 (1)","6","606,55"
"2024-12-22 21-20-56 (1)","6","416,22"
"2024-12-22 22-00-00 (1)","6","1278,36"
"2024-12-23 07-08-12 (1)","6","554,73"
"2024-12-23 08-00-00 (1)","6","1140,55"
"2024-12-23 10-00-00 (2)","6","1311,59"
"2024-12-23 12-00-00 (2)","6","1313,07"
"2024-12-23 14-00-00 (2)","6","1322,8"
"2024-12-23 16-00-00 (2)","6","1308,13"
"2024-12-23 18-00-00 (2)","6","1310,93"
"2024-12-23 20-00-00 (2)","6","1305,07"
"2024-12-23 22-00-00 (2)","6","1334,27"
"2024-12-24 00-00-00 (2)","6","1339"
"2024-12-24 02-00-00 (2)","6","1344,21"
"2024-12-24 04-00-00 (2)","6","1342,8"
"2024-12-24 06-00-00 (2)","6","1313,86"
"2024-12-24 08-00-00 (2)","6","1308,74"
"2024-12-24 10-00-00 (2)","6","1311,77"
"2024-12-24 12-43-56 (1)","6","821,79"
"2024-12-24 14-00-00 (1)","6","1303,47"
"2024-12-24 16-00-00 (1)","6","1298,68"
"2024-12-24 18-00-00 (1)","6","1322,1"
"2024-12-25 03-45-34 (1)","6","158,44"
"2024-12-25 07-13-44 (1)","6","506,6"
"2024-12-25 08-00-00 (1)","6","1304,76"
"2024-12-25 10-00-00 (1)","6","1316,55"
"2024-12-25 12-00-00 (1)","6","1318"
"2024-12-25 14-00-00 (1)","6","1316,49"
"2024-12-25 16-00-00 (1)","6","1301,88"
"2024-12-25 21-50-45 (1)","6","108,52"
"2024-12-26 06-59-59 (1)","6","690,01"
"2024-12-26 08-00-00 (1)","6","1325,92"
"2024-12-26 10-00-00 (1)","6","1328,26"
"2024-12-26 12-00-00 (1)","6","1305,54"
"2024-12-26 14-00-00 (1)","6","1304,04"
"2024-12-30 06-00-00 (1)","6","1305,25"
"2024-12-30 08-00-00 (1)","6","1319,78"
"2024-12-30 10-00-00 (1)","6","1320,97"
"2024-12-30 12-00-00 (1)","6","1321,32"
"2024-12-30 14-00-00 (1)","6","1300,96"
"2024-12-30 16-00-00 (1)","6","1304,74"
"2024-12-30 18-00-00 (1)","6","1302,64"
"2024-12-30 20-00-00 (1)","6","1299,46"
"2024-12-30 22-00-00 (1)","6","1323,11"
"2024-12-31 00-00-00 (1)","6","1328,91"
"2024-12-31 02-00-00 (1)","6","1331,41"
