Latitude,timestamp,Longitude,PointIndex,speed,GPS_no,file_label,Category,Bridge,Turnout,RailJoint
60.910735,113,14.8262018,113,146.44601,4,file1,Turnout,0,1,0
60.9124916,154,14.8221218,154,138.565,4,file1,Turnout,0,1,0
60.9148571,206,14.8167796,206,134.3655,4,file1,Turnout,0,1,0
60.959418,1415,14.7080286,1415,123.432,4,file1,Bridge,1,0,0
61.0068726,2812,14.5771601,2812,62.9925,4,file1,Turnout,0,1,0
61.0062198,4095,14.5451021,4095,31.8385,3,file1,Turnout,0,1,0
61.0060408,17480,14.5441431,17480,35.760498,7,file1,Turnout,0,1,0
61.0091921,17771,14.5519608,17771,44.067,8,file1,Turnout,0,1,0
61.0093398,17815,14.5539395,17815,36.3155,6,file1,Turnout,0,1,0
61.0093125,17826,14.554338,17826,32.93,5,file1,Turnout,0,1,0
61.0093041,17830,14.5544696,17830,31.2835,5,file1,Turnout,0,1,0
61.0091263,19172,14.559313,19172,20.979,6,file1,Turnout,0,1,0
61.0090685,19218,14.560903,19218,31.7645,6,file1,Turnout,0,1,0
61.0088976,19281,14.5631288,19281,32.4675,6,file1,Turnout,0,1,0
61.0088715,19288,14.563362,19288,31.0985,6,file1,Turnout,0,1,0
61.0085448,19409,14.5670721,19409,30.136501,7,file1,Turnout,0,1,0
61.0035226,19756,14.5796221,19756,59.2925,5,file1,Turnout,0,1,0
61.0015001,19830,14.5821658,19830,64.583496,4,file1,Bridge,1,0,0
61.0002583,19918,14.586639,19918,63.8435,6,file1,Turnout,0,1,0
60.8941015,30428,15.0986728,30428,96.4035,7,file1,Bridge,1,0,0
60.8908876,30567,15.108145,30567,74.0555,4,file1,Turnout,0,1,0
60.8842498,31182,15.116517,31182,49.3395,5,file1,Turnout,0,1,0
60.8359838,32315,15.0870811,32315,98.2535,5,file1,Bridge,1,0,0
60.8206535,32917,15.0319938,32917,87.542,5,file1,Turnout,0,1,0
60.8174601,33472,15.016724,33472,46.879,5,file1,Turnout,0,1,0
60.7407561,34927,15.0017185,34927,81.9365,4,file1,Turnout,0,1,0
60.7322716,35732,15.005148,35732,55.5185,5,file1,Turnout,0,1,0
60.7316273,35753,15.0055958,35753,61.013,5,file1,Turnout,0,1,0
60.7309065,35774,15.0061035,35774,70.521996,5,file1,Turnout,0,1,0
60.7293486,35813,15.0071296,35813,85.729004,5,file1,Bridge,1,0,0
60.7003655,434,15.0565296,434,137.899,5,file2,Bridge,1,0,0
60.6003868,3468,15.0779056,3468,50.9305,6,file2,Turnout,0,1,0
60.5946103,4015,15.0890931,4015,95.312004,6,file2,Turnout,0,1,0
60.5655613,4615,15.1289231,4615,96.792,6,file2,RailJoint,0,0,1
60.5537486,5495,15.1666193,5495,130.388,6,file2,RailJoint,0,0,1
60.5517175,5573,15.1767808,5573,139.71199,6,file2,RailJoint,0,0,1
60.5516701,5678,15.1910113,5678,125.485504,8,file2,RailJoint,0,0,1
60.5517255,5686,15.1920468,5686,124.63451,8,file2,RailJoint,0,0,1
60.5518886,5713,15.1956423,5713,126.355,8,file2,RailJoint,0,0,1
60.5531515,5829,15.2117618,5829,127.0025,8,file2,RailJoint,0,0,1
60.5538191,5957,15.2303876,5957,131.2945,8,file2,RailJoint,0,0,1
60.5535093,5998,15.2360913,5998,134.347,8,file2,RailJoint,0,0,1
60.55177,6143,15.2558886,6143,126.55851,7,file2,RailJoint,0,0,1
60.5482421,6292,15.2711863,6292,106.5785,5,file2,RailJoint,0,0,1
60.5393326,6524,15.2805686,6524,99.7335,6,file2,Bridge,1,0,0
60.5154621,7397,15.3404691,7397,114.884995,6,file2,Turnout,0,1,0
60.511119,7527,15.3529106,7527,118.067,6,file2,Turnout,0,1,0
60.5127303,25842,15.3471241,25842,27.121,6,file2,Turnout,0,1,0
60.5365646,30214,15.2805091,30214,99.1045,5,file2,Bridge,1,0,0
60.5542263,30836,15.2321055,30836,141.007,6,file2,RailJoint,0,0,1
60.5571488,31505,15.1512858,31505,88.43,6,file2,RailJoint,0,0,1
60.5616006,32220,15.1343861,32220,48.618,6,file2,RailJoint,0,0,1
60.6662481,34848,15.103479,34848,100.3255,6,file2,Turnout,0,1,0
60.6690068,34912,15.1016898,34912,78.550995,5,file2,Bridge,1,0,0
60.6697705,34934,15.1009325,34934,69.079,6,file2,Turnout,0,1,0
60.6718148,35005,15.0984973,35005,50.504997,6,file2,Turnout,0,1,0
60.680292,35750,15.0873461,35750,98.457,4,file2,Bridge,1,0,0
60.6852988,35875,15.0757463,35875,133.12599,4,file2,Bridge,1,0,0
