Latitude,timestamp,Longitude,PointIndex,speed,GPS_no,file_label,Category,Bridge,Turnout,RailJoint
60.9103406,105,14.8270568,105,147.334,4,file1,Turnout,0,1,0
60.9103898,106,14.826948,106,147.26,4,file1,Turnout,0,1,0
60.9104401,107,14.8268391,107,146.89,4,file1,Turnout,0,1,0
60.912173,147,14.8228431,147,138.91649,4,file1,Turnout,0,1,0
60.912218,148,14.8227405,148,138.491,4,file1,Turnout,0,1,0
60.9122636,149,14.8226371,149,138.5095,4,file1,Turnout,0,1,0
60.9123091,150,14.8225336,150,138.528,4,file1,Turnout,0,1,0
60.9123531,151,14.8224323,151,138.4355,4,file1,Turnout,0,1,0
60.9124,152,14.8223288,152,138.38,4,file1,Turnout,0,1,0
60.912447,153,14.8222243,153,138.565,4,file1,Turnout,0,1,0
60.9148571,206,14.8167796,206,134.3655,4,file1,Turnout,0,1,0
60.9149046,207,14.8166723,207,134.495,4,file1,Turnout,0,1,0
60.9149525,208,14.816565,208,134.5875,4,file1,Turnout,0,1,0
60.9149996,209,14.8164573,209,135.08699,4,file1,Turnout,0,1,0
60.9150475,210,14.8163503,210,135.05,4,file1,Turnout,0,1,0
60.9150953,211,14.816244,211,134.95749,4,file1,Turnout,0,1,0
60.9151426,212,14.816138,212,134.4765,4,file1,Turnout,0,1,0
60.9151865,213,14.8160338,213,134.77249,4,file1,Turnout,0,1,0
60.9593176,1412,14.7083683,1412,123.135994,4,file1,Bridge,1,0,0
60.9593523,1413,14.7082545,1413,123.1545,4,file1,Bridge,1,0,0
60.9593856,1414,14.7081413,1414,123.468994,4,file1,Bridge,1,0,0
60.959418,1415,14.7080286,1415,123.432,4,file1,Bridge,1,0,0
60.9594548,1416,14.7079121,1416,123.52449,4,file1,Bridge,1,0,0
60.9594906,1417,14.7077968,1417,123.6725,4,file1,Bridge,1,0,0
60.9595248,1418,14.7076821,1418,123.78351,4,file1,Bridge,1,0,0
60.9595595,1419,14.7075668,1419,123.876,4,file1,Bridge,1,0,0
60.9595931,1420,14.7074521,1420,124.31999,4,file1,Bridge,1,0,0
60.9596276,1421,14.7073366,1421,124.949005,4,file1,Bridge,1,0,0
60.9596641,1422,14.7072198,1422,125.448494,4,file1,Bridge,1,0,0
60.979843,1933,14.6494231,1933,130.72101,5,file1,Bridge,1,0,0
60.9798828,1934,14.6493168,1934,130.72101,5,file1,Bridge,1,0,0
60.9799226,1935,14.6492105,1935,130.72101,5,file1,Bridge,1,0,0
60.9799625,1936,14.649104,1936,130.72101,5,file1,Bridge,1,0,0
60.9800021,1937,14.6489976,1937,130.72101,5,file1,Bridge,1,0,0
60.9796516,1938,14.6493158,1938,123.4135,5,file1,Bridge,1,0,0
60.9797986,1941,14.6489473,1941,123.062,5,file1,Bridge,1,0,0
